"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 2","Activity","Green","#388E3C","Battery Park","Battery Park / Castle Clinton","nice-to-see","Manhattan","Battery Park, New York, NY 10004",""
"Day 2","Activity","Green","#388E3C","Harbor","Statue of Liberty","must-see","New York Harbor","Statue of Liberty, New York, NY 10004",""
"Day 2","Activity","Green","#388E3C","Harbor","Ellis Island","must-see","New York Harbor","Ellis Island, New York, NY 10004",""
"Day 2","Activity","Green","#388E3C","Harbor","Governors Island","suggested-skip","New York Harbor","Governors Island, New York, NY 10004","Second ferry and bike excursion makes Labor Day schedule unreliable"
"Day 2","Activity","Green","#388E3C","Financial District","Wall Street / NYSE / Charging Bull","must-see","Manhattan","Wall Street, New York, NY 10005",""
"Day 2","Activity","Green","#388E3C","Financial District","Federal Hall / Trinity Church / Bowling Green","must-see","Manhattan","Federal Hall, 26 Wall St, New York, NY 10005",""
"Day 2","Activity","Green","#388E3C","Financial District","Stone Street","nice-to-see","Manhattan","Stone St, New York, NY 10004","Friend-guide addition; short historic street/bar pocket"
"Day 2","Activity","Green","#388E3C","World Trade Center","9/11 Memorial","must-see","Manhattan","180 Greenwich St, New York, NY 10007",""
"Day 2","Activity","Green","#388E3C","World Trade Center","9/11 Museum","must-see","Manhattan","180 Greenwich St, New York, NY 10007",""
"Day 2","Activity","Green","#388E3C","World Trade Center","One World Observatory","suggested-skip","Manhattan","117 West St, New York, NY 10006","Choose one paid skyline deck; Top of the Rock remains the preferred option"
"Day 2","Activity","Green","#388E3C","World Trade Center","Oculus / Westfield","nice-to-see","Manhattan","33-35 Vesey St, New York, NY 10007",""
"Day 2","Activity","Green","#388E3C","Tribeca","Tribeca / Hudson River Park / Staple Street","nice-to-see","Manhattan","Staple Street, New York, NY 10013",""
"Day 2","Activity","Green","#388E3C","Tribeca","Target","suggested-skip","Manhattan","255 Greenwich St, New York, NY 10007","Use only for practical shopping, not as a scheduled attraction"
"Day 2","Food","Green","#388E3C","Financial District","Pisillo Italian Panini","suggestion","Manhattan","97 Nassau St, New York, NY 10038",""
"Day 2","Food","Green","#388E3C","Financial District","Xi'an Famous Foods","suggestion","Manhattan","8 Liberty Pl, New York, NY 10038",""
"Day 2","Food","Green","#388E3C","Tribeca","Nish Nush","suggestion","Manhattan","88 Reade St, New York, NY 10013",""
"Day 2","Food","Green","#388E3C","Financial District","Leo's Bagels","suggestion","Manhattan","3 Hanover Sq, New York, NY 10004",""
"Day 2","Food","Green","#388E3C","World Trade Center","Eataly Downtown","suggestion","Manhattan","101 Liberty St, New York, NY 10007","Easy fallback near WTC/Oculus"
"Day 2","Food","Green","#388E3C","Battery Park City","Shake Shack Battery Park City","suggestion","Manhattan","215 Murray St, New York, NY 10282","Easy teen-friendly fallback"
"Day 2","Food","Green","#388E3C","Seaport","Tin Building by Jean-Georges","suggested-skip","Manhattan","96 South St, New York, NY 10038","Recommended in PDF, but current 2026 reporting says it closed"
"Day 2","Food","Green","#388E3C","Tribeca","Bubby's Tribeca","suggestion","Manhattan","120 Hudson St, New York, NY 10013",""
"Day 2","Food","Green","#388E3C","Tribeca","Locanda Verde","suggestion","Manhattan","377 Greenwich St, New York, NY 10013",""
"Day 2","Food","Green","#388E3C","Tribeca","Frenchette","suggested-skip","Manhattan","241 W Broadway, New York, NY 10013","Excellent but expensive and less teen/budget-aligned after a long day"
"Day 2","Food","Green","#388E3C","Tribeca","Tamarind Tribeca","suggestion","Manhattan","99 Hudson St, New York, NY 10013",""
