"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 4","Activity","Blue","#1976D2","Midtown South","Empire State Building","must-see","Manhattan","20 W 34th St, New York, NY 10001",""
"Day 4","Activity","Blue","#1976D2","Koreatown","Koreatown","must-see","Manhattan","W 32nd St, New York, NY 10001",""
"Day 4","Activity","Blue","#1976D2","Flatiron","Flatiron Building / Madison Square Park","must-see","Manhattan","Flatiron Building, New York, NY 10010",""
"Day 4","Activity","Blue","#1976D2","Flatiron","Harry Potter New York","must-see","Manhattan","935 Broadway, New York, NY 10010",""
"Day 4","Activity","Blue","#1976D2","Midtown","NYPL / Morgan Library area","nice-to-see","Manhattan","New York Public Library, 476 5th Ave, New York, NY 10018",""
"Day 4","Activity","Blue","#1976D2","Midtown East","Grand Central Terminal / Whispering Gallery","must-see","Manhattan","89 E 42nd St, New York, NY 10017",""
"Day 4","Activity","Blue","#1976D2","Midtown East","Chrysler Building exterior","must-see","Manhattan","405 Lexington Ave, New York, NY 10174",""
"Day 4","Activity","Blue","#1976D2","Midtown East","UN Plaza","nice-to-see","Manhattan","United Nations Headquarters, New York, NY 10017",""
"Day 4","Activity","Blue","#1976D2","Midtown","Bryant Park","nice-to-see","Manhattan","Bryant Park, New York, NY 10018",""
"Day 4","Activity","Blue","#1976D2","Midtown North","Rockefeller Center / Top of the Rock","must-see","Manhattan","30 Rockefeller Plaza, New York, NY 10112",""
"Day 4","Activity","Blue","#1976D2","Midtown North","St Patrick's Cathedral / Fifth Avenue","nice-to-see","Manhattan","5th Ave, New York, NY 10022",""
"Day 4","Activity","Blue","#1976D2","Midtown North","MoMA","nice-to-see","Manhattan","11 W 53rd St, New York, NY 10019",""
"Day 4","Activity","Blue","#1976D2","Times Square","Times Square / Broadway show","must-see","Manhattan","Times Square, New York, NY",""
"Day 4","Food","Orange","#F57C00","Midtown","Urban Hawker","suggestion","Manhattan","135 W 50th St, New York, NY 10020",""
"Day 4","Food","Orange","#F57C00","Midtown","Adel's Famous Halal Food","suggestion","Manhattan","W 49th St & 6th Ave, New York, NY 10020",""
"Day 4","Food","Orange","#F57C00","Times Square","Margon","suggestion","Manhattan","136 W 46th St, New York, NY 10036",""
"Day 4","Food","Orange","#F57C00","Flatiron","Tacombi Flatiron","suggestion","Manhattan","30 W 24th St, New York, NY 10010",""
"Day 4","Food","Orange","#F57C00","Midtown","JoJu","suggestion","Manhattan","185 W 38th St, New York, NY 10018",""
"Day 4","Food","Orange","#F57C00","Midtown","Toasties","suggestion","Manhattan","1369 6th Ave, New York, NY 10019",""
"Day 4","Food","Orange","#F57C00","Koreatown","Tonchin","suggestion","Manhattan","13 W 36th St, New York, NY 10018",""
"Day 4","Food","Orange","#F57C00","Penn Station","NY Pizza Suprema","suggestion","Manhattan","413 8th Ave, New York, NY 10001",""
"Day 4","Food","Orange","#F57C00","Koreatown","Woorijip","suggestion","Manhattan","12 W 32nd St, New York, NY 10001",""
"Day 4","Food","Orange","#F57C00","Koreatown","BCD Tofu House","suggestion","Manhattan","5 W 32nd St, New York, NY 10001",""
"Day 4","Food","Orange","#F57C00","Koreatown","Turntable Chicken Jazz","suggestion","Manhattan","20 W 33rd St, New York, NY 10001",""
"Day 4","Food","Orange","#F57C00","Midtown","99 Favor Taste","suggestion","Manhattan","285 7th Ave, New York, NY 10001",""
"Day 4","Food","Orange","#F57C00","Times Square","Ellen's Stardust Diner","suggestion","Manhattan","1650 Broadway, New York, NY 10019",""
