"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 6","Activity","Blue","#1976D2","Seaport","South Street Seaport / Pier 15 / Pier 16","must-see","Manhattan","South Street Seaport, New York, NY 10038",""
"Day 6","Activity","Blue","#1976D2","Brooklyn Bridge","Brooklyn Bridge crossing","must-see","New York","Brooklyn Bridge, New York, NY",""
"Day 6","Activity","Blue","#1976D2","DUMBO","DUMBO / Washington Street view","must-see","Brooklyn","Washington St & Water St, Brooklyn, NY 11201",""
"Day 6","Activity","Blue","#1976D2","Brooklyn Heights","Brooklyn Bridge Park / Promenade","must-see","Brooklyn","Brooklyn Heights Promenade, Brooklyn, NY 11201",""
"Day 6","Activity","Blue","#1976D2","Brooklyn Heights","Brooklyn Heights brownstone streets / waterfront piers","nice-to-see","Brooklyn","Brooklyn Heights, Brooklyn, NY","Friend-guide addition; best if timing allows"
"Day 6","Activity","Blue","#1976D2","Brooklyn","Downtown Brooklyn","suggested-skip","Brooklyn","Downtown Brooklyn, NY","Use only as a transit connection, not as a destination"
"Day 6","Activity","Blue","#1976D2","Brooklyn","Clinton Hill / Park Slope / Carroll Gardens","suggested-skip","Brooklyn","Brooklyn, NY","Three extra neighborhoods would consume the Williamsburg and Greenpoint afternoon"
"Day 6","Activity","Blue","#1976D2","Williamsburg","Williamsburg waterfront / Domino Park","must-see","Brooklyn","Domino Park, Brooklyn, NY 11249",""
"Day 6","Activity","Blue","#1976D2","Williamsburg","Bedford Avenue","must-see","Brooklyn","Bedford Ave, Brooklyn, NY",""
"Day 6","Activity","Blue","#1976D2","Williamsburg","Williamsburg Bridge crossing","suggested-skip","New York","Williamsburg Bridge, New York, NY","Brooklyn Bridge already supplies the bridge walk"
"Day 6","Activity","Blue","#1976D2","Greenpoint","Greenpoint waterfront / Franklin Street","must-see","Brooklyn","Franklin St, Brooklyn, NY 11222",""
"Day 6","Food","Orange","#F57C00","DUMBO","Juliana's Pizza","suggestion","Brooklyn","19 Old Fulton St, Brooklyn, NY 11201",""
"Day 6","Food","Orange","#F57C00","Seaport","Industry Kitchen","suggestion","Manhattan","70 South St, New York, NY 10038","Seaport fallback before the bridge"
"Day 6","Food","Orange","#F57C00","Seaport","The Fulton","suggestion","Manhattan","89 South St, New York, NY 10038","Reserve if choosing a Seaport splurge"
"Day 6","Food","Orange","#F57C00","DUMBO","The River Cafe","suggested-skip","Brooklyn","1 Water St, Brooklyn, NY 11201","Friend-guide splurge; reserve and check dress code"
"Day 6","Food","Orange","#F57C00","Williamsburg","L'Industrie Pizzeria","suggestion","Brooklyn","254 S 2nd St, Brooklyn, NY 11211",""
"Day 6","Food","Orange","#F57C00","Williamsburg","Misi","suggestion","Brooklyn","329 Kent Ave, Brooklyn, NY 11249","Reserve ahead or try an early bar seat"
"Day 6","Food","Orange","#F57C00","Williamsburg","Sunday in Brooklyn","suggestion","Brooklyn","348 Wythe Ave, Brooklyn, NY 11249","Friend-guide Williamsburg backup"
"Day 6","Food","Orange","#F57C00","Greenpoint","Taqueria Ramirez","suggestion","Brooklyn","94 Franklin St, Brooklyn, NY 11222",""
"Day 6","Food","Orange","#F57C00","Williamsburg","Birria-Landia","suggestion","Brooklyn","77 N 10th St, Brooklyn, NY 11249",""
"Day 6","Food","Orange","#F57C00","Greenpoint","Paulie Gee's Slice Shop","suggestion","Brooklyn","110 Franklin St, Brooklyn, NY 11222",""
"Day 6","Food","Orange","#F57C00","Williamsburg","Vanessa's Dumpling House","suggestion","Brooklyn","310 Bedford Ave, Brooklyn, NY 11249",""
"Day 6","Food","Orange","#F57C00","Williamsburg","Ceremonia Bakeshop","suggestion","Brooklyn","743 Driggs Ave, Brooklyn, NY 11211",""
"Day 6","Food","Orange","#F57C00","Brooklyn","Time Out Market","suggested-skip","Brooklyn","55 Water St, Brooklyn, NY 11201","Useful near DUMBO, but backward for Williamsburg or Greenpoint dinner"
"Day 6","Food","Orange","#F57C00","Brooklyn","Front Street Pizza","suggested-skip","Brooklyn","80 Front St, Brooklyn, NY 11201","Fine near DUMBO, but backward if finishing in Williamsburg or Greenpoint"
