"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 1","Activity","Blue","#1976D2","Bronx","The Melrose Hotel","base","Bronx","444 East 149th Street, Bronx, NY 10455","Arrival and luggage base"
"Day 1","Activity","Blue","#1976D2","Hudson Yards","Hudson Yards / Vessel","must-see","Manhattan","20 Hudson Yards, New York, NY 10001",""
"Day 1","Activity","Blue","#1976D2","Hudson Yards","The Edge","must-see","Manhattan","30 Hudson Yards, New York, NY 10001",""
"Day 1","Activity","Blue","#1976D2","Chelsea","High Line","must-see","Manhattan","High Line, New York, NY",""
"Day 1","Activity","Blue","#1976D2","Chelsea","Chelsea Market","must-see","Manhattan","75 9th Ave, New York, NY 10011",""
"Day 1","Activity","Blue","#1976D2","Meatpacking","Meatpacking District","must-see","Manhattan","Gansevoort Street, New York, NY",""
"Day 1","Activity","Blue","#1976D2","Chelsea","Pier 57 rooftop food market","nice-to-see","Manhattan","25 11th Ave, New York, NY 10011",""
"Day 1","Activity","Blue","#1976D2","Chelsea","Little Island","must-see","Manhattan","Pier 55, New York, NY 10014",""
"Day 1","Activity","Blue","#1976D2","Times Square","Times Square","must-see","Manhattan","Times Square, New York, NY",""
"Day 1","Activity","Blue","#1976D2","Times Square","Broadway Theater District","nice-to-see","Manhattan","Broadway & W 45th St, New York, NY",""
"Day 1","Activity","Blue","#1976D2","Fifth Avenue","Apple Fifth Avenue","must-see","Manhattan","767 5th Ave, New York, NY 10153",""
"Day 1","Food","Orange","#F57C00","Chelsea","Chelsea Papaya","suggestion","Manhattan","171 7th Ave, New York, NY 10011",""
"Day 1","Food","Orange","#F57C00","Chelsea","Los Mariscos","suggestion","Manhattan","409 W 15th St, New York, NY 10011",""
"Day 1","Food","Orange","#F57C00","Hudson Yards","Friedman's","suggestion","Manhattan","450 10th Ave, New York, NY 10018",""
"Day 1","Food","Orange","#F57C00","Hudson Yards","Fuku","suggestion","Manhattan","10 Hudson Yards, New York, NY 10001",""
"Day 1","Food","Orange","#F57C00","Midtown West","Urban Hawker","suggestion","Manhattan","135 W 50th St, New York, NY 10020",""
"Day 1","Food","Orange","#F57C00","Times Square","Schnipper's","suggestion","Manhattan","620 8th Ave, New York, NY 10018",""
"Day 1","Food","Orange","#F57C00","Midtown","Tacombi at the Empire State Building","suggestion","Manhattan","23 W 33rd St, New York, NY 10001",""
"Day 1","Food","Orange","#F57C00","Times Square","Ellen's Stardust Diner","suggestion","Manhattan","1650 Broadway, New York, NY 10019",""
"Day 1","Food","Orange","#F57C00","Times Square","7th Street Burger","suggestion","Manhattan","485 7th Ave, New York, NY 10018",""
"Day 1","Food","Orange","#F57C00","Hell's Kitchen","Empanada Mama","suggestion","Manhattan","763 9th Ave, New York, NY 10019",""
