"Day","Category","ColorName","ColorHex","Neighborhood","Place","Priority","Borough","AddressExact","Notes"
"Day 5","Activity","Blue","#1976D2","Central Park","Central Park full bike loop","must-see","Manhattan","Central Park, New York, NY",""
"Day 5","Activity","Blue","#1976D2","Central Park","Bethesda Terrace / Bow Bridge / Sheep Meadow","must-see","Manhattan","Central Park, New York, NY",""
"Day 5","Activity","Blue","#1976D2","Central Park","Strawberry Fields / The Mall","must-see","Manhattan","Central Park, New York, NY",""
"Day 5","Activity","Blue","#1976D2","Central Park","Loeb Boathouse rowboats / Tavern on the Green drink","nice-to-see","Manhattan","Central Park Boathouse, New York, NY 10028","Only if weather is excellent and the bike loop is ahead of schedule"
"Day 5","Activity","Blue","#1976D2","Upper East Side","Metropolitan Museum of Art","must-see","Manhattan","1000 5th Ave, New York, NY 10028",""
"Day 5","Activity","Blue","#1976D2","Upper East Side","Guggenheim Museum","suggested-skip","Manhattan","1071 5th Ave, New York, NY 10128","Choose one museum only after Central Park"
"Day 5","Activity","Blue","#1976D2","Upper East Side","Frick Collection","suggested-skip","Manhattan","1 E 70th St, New York, NY 10021","Choose one museum only after Central Park"
"Day 5","Activity","Blue","#1976D2","Upper East Side","Silk Stocking District","suggested-skip","Manhattan","Upper East Side, New York, NY","Low priority after Central Park and The Met"
"Day 5","Activity","Blue","#1976D2","Upper West Side","Lincoln Center / Columbus Circle","nice-to-see","Manhattan","Lincoln Center, New York, NY 10023",""
"Day 5","Activity","Blue","#1976D2","Upper West Side","Broadway to Riverside walk","nice-to-see","Manhattan","Riverside Park, New York, NY",""
"Day 5","Activity","Blue","#1976D2","Harlem","Apollo Theater / 125th Street","nice-to-see","Manhattan","Apollo Theater, 253 W 125th St, New York, NY 10027","Keep Harlem focused; skip the Hamilton Heights extension"
"Day 5","Activity","Blue","#1976D2","Weehawken","NY Waterway Port Imperial / waterfront","suggested-skip","New Jersey","Port Imperial Ferry Terminal, Weehawken, NJ 07086","Substantial New Jersey detour after several skyline viewpoints"
"Day 5","Activity","Blue","#1976D2","Weehawken","Hamilton Park viewpoint","suggested-skip","New Jersey","Hamilton Park, Weehawken, NJ 07086","Substantial New Jersey detour after several skyline viewpoints"
"Day 5","Food","Orange","#F57C00","Upper East Side","Lenwich","suggestion","Manhattan","1218 Lexington Ave, New York, NY 10028",""
"Day 5","Food","Orange","#F57C00","Upper East Side","Shake Shack Upper East Side","suggestion","Manhattan","154 E 86th St, New York, NY 10028","Easy option between subway and The Met"
"Day 5","Food","Orange","#F57C00","Upper East Side","H&H Bagels Upper East Side","suggestion","Manhattan","1551 2nd Ave, New York, NY 10028","Quick breakfast/lunch near the 86th St subway"
"Day 5","Food","Orange","#F57C00","Upper East Side","Butterfield Market","suggestion","Manhattan","1150 Madison Ave, New York, NY 10028","Picnic provisions near The Met"
"Day 5","Food","Orange","#F57C00","Central Park","Central Park Boathouse","suggested-skip","Manhattan","Park Drive North & E 72nd St, New York, NY 10021","Friend-guide weather-dependent Central Park dining/drink option"
"Day 5","Food","Orange","#F57C00","Central Park","Tavern on the Green","suggested-skip","Manhattan","67th Street & Central Park West, New York, NY 10023","Friend-guide weather-dependent Central Park drink option"
"Day 5","Food","Orange","#F57C00","Upper West Side","Zabar's","suggestion","Manhattan","2245 Broadway, New York, NY 10024","Picnic provisions if finishing west"
"Day 5","Food","Orange","#F57C00","Upper West Side","Jacob's Pickles","suggestion","Manhattan","680 Columbus Ave, New York, NY 10025","Good if choosing the UWS evening"
"Day 5","Food","Orange","#F57C00","Upper West Side","Gray's Papaya","suggestion","Manhattan","2090 Broadway, New York, NY 10023","Good if choosing the UWS evening"
"Day 5","Food","Orange","#F57C00","Upper West Side","Mama's TOO!","suggestion","Manhattan","2750 Broadway, New York, NY 10025","Good if choosing the UWS evening"
"Day 5","Food","Orange","#F57C00","Upper West Side","Absolute Bagels","suggested-skip","Manhattan","2788 Broadway, New York, NY 10025","Friend-guide/UWS option; check current name/status before going"
"Day 5","Food","Orange","#F57C00","Upper West Side","Shake Shack UWS","suggestion","Manhattan","366 Columbus Ave, New York, NY 10024",""
"Day 5","Food","Orange","#F57C00","Harlem","Sylvia's","suggestion","Manhattan","328 Malcolm X Blvd, New York, NY 10027","Good if choosing the Harlem evening"
"Day 5","Food","Orange","#F57C00","East Village","Veselka","suggested-skip","Manhattan","144 2nd Ave, New York, NY 10003","Wrong geography for Day 5 unless plans shift downtown"
"Day 5","Food","Orange","#F57C00","Koreatown","Woorijip","suggested-skip","Manhattan","12 W 32nd St, New York, NY 10001","Wrong geography for Day 5 unless plans shift Midtown"
"Day 5","Food","Orange","#F57C00","Flatiron","Tacombi Flatiron","suggested-skip","Manhattan","30 W 24th St, New York, NY 10010","Wrong geography for Day 5 unless plans shift downtown"
